Bowl,Team,Points,ESPN Game ID,ESPN Team Name,isFinal,ESPN Team ID,State,date
Vrbo Fiesta Bowl,Oregon (Favorite),0,401551782,Oregon Ducks,False,2483,pre,2024-01-01T18:00Z
Tony the Tiger Sun Bowl,Oregon State,0,401551798,Oregon State Beavers,False,204,pre,2023-12-29T19:00Z
ChickfilA Peach Bowl,Penn State (Favorite),0,401551769,Penn State Nittany Lions,False,213,pre,2023-12-30T17:00Z
SERVPRO First Responder Bowl,Rice,0,401551748,Rice Owls,False,242,pre,2023-12-26T22:30Z
Bad Boy Mowers Pinstripe Bowl,Rutgers,0,401551762,Rutgers Scarlet Knights,False,164,pre,2023-12-28T19:15Z
EasyPost Hawaii Bowl,San Jose State (Favorite),0,401551746,San José State Spartans,False,23,pre,2023-12-24T03:30Z
Wasabi Fenway Bowl,SMU (Favorite),0,401551750,SMU Mustangs,False,2567,pre,2023-12-28T16:00Z
68 Ventures Bowl,South Alabama (Favorite),0,401551755,South Alabama Jaguars,False,6,pre,2023-12-24T00:00Z
RoofClaimcom Boca Raton Bowl,South Florida,0,401551737,South Florida Bulls,False,58,post,2023-12-22T01:00Z
RoofClaimcom Boca Raton Bowl,Syracuse (Favorite),0,401551737,Syracuse Orange,False,183,post,2023-12-22T01:00Z
CheezIt Citrus Bowl,Tennessee (Favorite),0,401551780,Tennessee Volunteers,False,2633,pre,2024-01-01T18:00Z
CFP Semifinal at the Allstate Sugar Bowl,Texas (Favorite),0,401551788,Texas Longhorns,False,251,pre,2024-01-02T01:45Z
TaxAct Texas Bowl,Texas A&M (Favorite),0,401551749,Texas A&M Aggies,False,245,pre,2023-12-28T02:00Z
SERVPRO First Responder Bowl,Texas State (Favorite),0,401551748,Texas State Bobcats,False,326,pre,2023-12-26T22:30Z
Radiance Technologies Independence Bowl,Texas Tech (Favorite),0,401551753,Texas Tech Red Raiders,False,2641,post,2023-12-17T02:15Z
Barstool Sports Arizona Bowl,Toledo (Favorite),0,401554566,Toledo Rockets,False,2649,pre,2023-12-30T21:30Z
Birmingham Bowl,Troy (Favorite),0,401551739,Troy Trojans,False,2653,pre,2023-12-23T17:00Z
Military Bowl presented by GoBowlingcom,Tulane,0,401551758,Tulane Green Wave,False,2655,pre,2023-12-27T19:00Z
Union Home Mortgage Gasparilla Bowl,UCF (Favorite),0,401551754,UCF Knights,False,2116,pre,2023-12-22T23:30Z
LA Bowl,UCLA (Favorite),0,401551752,UCLA Bruins,False,26,post,2023-12-17T00:30Z
Guaranteed Rate Bowl,UNLV,0,401551757,UNLV Rebels,False,2439,pre,2023-12-27T02:00Z
DirecTV Holiday Bowl,USC,0,401581109,USC Trojans,False,30,pre,2023-12-28T01:00Z
SRS Distribution Las Vegas Bowl,Utah (Favorite),0,401551744,Utah Utes,False,254,pre,2023-12-24T00:30Z
Famous Idaho Potato Bowl,Utah State,0,401551743,Utah State Aggies,False,328,pre,2023-12-23T20:30Z
Scooters Coffee Frisco Bowl,UTSA (Favorite),0,401551735,UTSA Roadrunners,False,2636,post,2023-12-20T02:00Z
Military Bowl presented by GoBowlingcom,Virginia Tech (Favorite),0,401551758,Virginia Tech Hokies,False,259,pre,2023-12-27T19:00Z
CFP Semifinal at the Allstate Sugar Bowl,Washington,0,401551788,Washington Huskies,False,264,pre,2024-01-02T01:45Z
Dukes Mayo Bowl,West Virginia (Favorite),0,401551761,West Virginia Mountaineers,False,277,pre,2023-12-27T22:30Z
Famous Toastery Bowl,Western Kentucky (Favorite),0,401551469,Western Kentucky Hilltoppers,False,98,post,2023-12-18T19:30Z
ReliaQuest Bowl,Wisconsin,0,401551778,Wisconsin Badgers,False,275,pre,2024-01-01T17:00Z
Barstool Sports Arizona Bowl,Wyoming,0,401554566,Wyoming Cowboys,False,2751,pre,2023-12-30T21:30Z
