Bowl,Team,Points,ESPN Game ID,ESPN Team Name,isFinal,ESPN Team ID,State,date
Union Home Mortgage Gasparilla Bowl,Georgia Tech,30,401551754,Georgia Tech Yellow Jackets,True,59,post,2023-12-22T23:30Z
Camellia Bowl,Arkansas State (Favorite),19,401551741,Arkansas State Red Wolves,True,2032,post,2023-12-23T17:00Z
Birmingham Bowl,Duke,17,401551739,Duke Blue Devils,True,150,post,2023-12-23T17:00Z
Camellia Bowl,Northern Illinois,21,401551741,Northern Illinois Huskies,True,2459,post,2023-12-23T17:00Z
Birmingham Bowl,Troy (Favorite),10,401551739,Troy Trojans,True,2653,post,2023-12-23T17:00Z
Lockheed Martin Armed Forces Bowl,Air Force,31,401551742,Air Force Falcons,True,2005,post,2023-12-23T20:30Z
Famous Idaho Potato Bowl,Georgia State (Favorite),45,401551743,Georgia State Panthers,True,2247,post,2023-12-23T20:30Z
Lockheed Martin Armed Forces Bowl,James Madison (Favorite),21,401551742,James Madison Dukes,True,256,post,2023-12-23T20:30Z
Famous Idaho Potato Bowl,Utah State,22,401551743,Utah State Aggies,True,328,post,2023-12-23T20:30Z
68 Ventures Bowl,South Alabama (Favorite),59,401551755,South Alabama Jaguars,True,6,post,2023-12-24T00:00Z
68 Ventures Bowl,Eastern Michigan,10,401551755,Eastern Michigan Eagles,True,2199,post,2023-12-24T00:00Z
SRS Distribution Las Vegas Bowl,Northwestern,14,401551744,Northwestern Wildcats,True,77,post,2023-12-24T00:30Z
SRS Distribution Las Vegas Bowl,Utah (Favorite),7,401551744,Utah Utes,True,254,post,2023-12-24T00:30Z
EasyPost Hawaii Bowl,Coastal Carolina,24,401551746,Coastal Carolina Chanticleers,True,324,post,2023-12-24T03:30Z
EasyPost Hawaii Bowl,San Jose State (Favorite),14,401551746,San José State Spartans,True,23,post,2023-12-24T03:30Z
Quick Lane Bowl,Bowling Green,24,401551756,Bowling Green Falcons,True,189,post,2023-12-26T19:00Z
Quick Lane Bowl,Minnesota (Favorite),30,401551756,Minnesota Golden Gophers,True,135,post,2023-12-26T19:00Z
SERVPRO First Responder Bowl,Rice,21,401551748,Rice Owls,True,242,post,2023-12-26T22:30Z
SERVPRO First Responder Bowl,Texas State (Favorite),45,401551748,Texas State Bobcats,True,326,post,2023-12-26T22:30Z
Guaranteed Rate Bowl,Kansas (Favorite),28,401551757,Kansas Jayhawks,False,2305,in,2023-12-27T02:00Z
Guaranteed Rate Bowl,UNLV,7,401551757,UNLV Rebels,False,2439,in,2023-12-27T02:00Z
Military Bowl presented by GoBowlingcom,Virginia Tech (Favorite),0,401551758,Virginia Tech Hokies,False,259,pre,2023-12-27T19:00Z
Military Bowl presented by GoBowlingcom,Tulane,0,401551758,Tulane Green Wave,False,2655,pre,2023-12-27T19:00Z
Dukes Mayo Bowl,North Carolina,0,401551761,North Carolina Tar Heels,False,153,pre,2023-12-27T22:30Z
Dukes Mayo Bowl,West Virginia (Favorite),0,401551761,West Virginia Mountaineers,False,277,pre,2023-12-27T22:30Z
DirecTV Holiday Bowl,Louisville (Favorite),0,401581109,Louisville Cardinals,False,97,pre,2023-12-28T01:00Z
DirecTV Holiday Bowl,USC,0,401581109,USC Trojans,False,30,pre,2023-12-28T01:00Z
TaxAct Texas Bowl,Oklahoma State,0,401551749,Oklahoma State Cowboys,False,197,pre,2023-12-28T02:00Z
TaxAct Texas Bowl,Texas A&M (Favorite),0,401551749,Texas A&M Aggies,False,245,pre,2023-12-28T02:00Z
